date,home_team,home_team_score,away_team,away_team_score,game_type,season
2013-09-18,Carolina Hurricanes,4,Columbus Blue Jackets,5,PR,20132014
2013-09-18,Tampa Bay Lightning,4,St. Louis Blues,3,PR,20132014
2013-09-18,Dallas Stars,3,Florida Panthers,2,PR,20132014
2013-09-18,Colorado Avalanche,1,Anaheim Ducks,2,PR,20132014
2013-09-18,Vancouver Canucks,1,Edmonton Oilers,4,PR,20132014
2013-09-19,Boston Bruins,2,Detroit Red Wings,8,PR,20132014
2013-09-19,Buffalo Sabres,5,Carolina Hurricanes,2,PR,20132014
2013-09-19,New Jersey Devils,3,New York Islanders,5,PR,20132014
2013-09-19,Ottawa Senators,2,Toronto Maple Leafs,3,PR,20132014
2013-09-19,Tampa Bay Lightning,5,Nashville Predators,1,PR,20132014
2013-09-19,Chicago Blackhawks,3,Pittsburgh Penguins,4,PR,20132014
2013-09-19,Winnipeg Jets,1,Minnesota Wild,4,PR,20132014
2013-09-20,Washington Capitals,4,Chicago Blackhawks,5,PR,20132014
2013-09-20,Carolina Hurricanes,0,Montréal Canadiens,6,PR,20132014
2013-09-20,St. Louis Blues,3,Tampa Bay Lightning,4,PR,20132014
2013-09-20,Florida Panthers,1,Dallas Stars,4,PR,20132014
2013-09-20,Colorado Avalanche,4,Los Angeles Kings,3,PR,20132014
2013-09-20,San Jose Sharks,2,Anaheim Ducks,3,PR,20132014
2013-09-21,Pittsburgh Penguins,3,Columbus Blue Jackets,5,PR,20132014
2013-09-21,Buffalo Sabres,2,Toronto Maple Leafs,3,PR,20132014
2013-09-21,Detroit Red Wings,0,Boston Bruins,2,PR,20132014
2013-09-21,Montréal Canadiens,1,Carolina Hurricanes,3,PR,20132014
2013-09-21,New York Islanders,0,New Jersey Devils,3,PR,20132014
2013-09-21,Tampa Bay Lightning,5,Florida Panthers,4,PR,20132014
2013-09-21,Minnesota Wild,4,Winnipeg Jets,3,PR,20132014
2013-09-21,St. Louis Blues,3,Dallas Stars,2,PR,20132014
2013-09-21,Edmonton Oilers,5,Vancouver Canucks,2,PR,20132014
2013-09-21,San Jose Sharks,3,Phoenix Coyotes,2,PR,20132014
2013-09-22,Detroit Red Wings,3,Chicago Blackhawks,4,PR,20132014
2013-09-22,Nashville Predators,2,New York Islanders,0,PR,20132014
2013-09-22,Toronto Maple Leafs,5,Buffalo Sabres,3,PR,20132014
2013-09-22,Anaheim Ducks,1,Colorado Avalanche,2,PR,20132014
2013-09-23,Boston Bruins,3,Washington Capitals,2,PR,20132014
2013-09-23,Columbus Blue Jackets,1,Minnesota Wild,2,PR,20132014
2013-09-23,Pittsburgh Penguins,3,Chicago Blackhawks,2,PR,20132014
2013-09-23,Montréal Canadiens,3,New Jersey Devils,2,PR,20132014
2013-09-23,Calgary Flames,4,New York Rangers,1,PR,20132014
2013-09-23,Edmonton Oilers,2,Winnipeg Jets,1,PR,20132014
2013-09-23,Vancouver Canucks,6,Phoenix Coyotes,1,PR,20132014
2013-09-24,Philadelphia Flyers,1,New Jersey Devils,2,PR,20132014
2013-09-24,Toronto Maple Leafs,2,Ottawa Senators,3,PR,20132014
2013-09-24,Nashville Predators,2,Tampa Bay Lightning,1,PR,20132014
2013-09-24,Colorado Avalanche,3,Dallas Stars,5,PR,20132014
2013-09-24,Edmonton Oilers,5,New York Rangers,3,PR,20132014
2013-09-24,Los Angeles Kings,2,Anaheim Ducks,1,PR,20132014
2013-09-24,San Jose Sharks,5,Vancouver Canucks,0,PR,20132014
2013-09-25,Buffalo Sabres,3,Columbus Blue Jackets,0,PR,20132014
2013-09-25,Washington Capitals,4,Nashville Predators,1,PR,20132014
2013-09-25,Detroit Red Wings,1,Pittsburgh Penguins,5,PR,20132014
2013-09-25,Ottawa Senators,5,Montréal Canadiens,2,PR,20132014
2013-09-25,Minnesota Wild,3,St. Louis Blues,1,PR,20132014
2013-09-25,Calgary Flames,2,Phoenix Coyotes,3,PR,20132014
2013-09-26,Columbus Blue Jackets,1,Carolina Hurricanes,2,PR,20132014
2013-09-26,New Jersey Devils,4,Philadelphia Flyers,1,PR,20132014
2013-09-26,Winnipeg Jets,2,Boston Bruins,3,PR,20132014
2013-09-26,Montréal Canadiens,3,Ottawa Senators,1,PR,20132014
2013-09-26,Tampa Bay Lightning,3,Florida Panthers,2,PR,20132014
2013-09-26,Dallas Stars,5,Colorado Avalanche,1,PR,20132014
2013-09-26,Vancouver Canucks,5,New York Rangers,0,PR,20132014
2013-09-27,Carolina Hurricanes,1,Buffalo Sabres,0,PR,20132014
2013-09-27,New York Islanders,6,Nashville Predators,4,PR,20132014
2013-09-27,Washington Capitals,6,Philadelphia Flyers,3,PR,20132014
2013-09-27,Detroit Red Wings,5,Toronto Maple Leafs,2,PR,20132014
2013-09-27,Edmonton Oilers,0,Dallas Stars,4,PR,20132014
2013-09-27,St. Louis Blues,4,Minnesota Wild,1,PR,20132014
2013-09-27,Boston Bruins,5,Winnipeg Jets,0,PR,20132014
2013-09-27,Phoenix Coyotes,2,San Jose Sharks,1,PR,20132014
2013-09-27,Los Angeles Kings,4,New York Rangers,1,PR,20132014
2013-09-28,Florida Panthers,5,Tampa Bay Lightning,3,PR,20132014
2013-09-28,Toronto Maple Leafs,3,Detroit Red Wings,1,PR,20132014
2013-09-28,Chicago Blackhawks,4,Washington Capitals,3,PR,20132014
2013-09-28,Anaheim Ducks,5,San Jose Sharks,6,PR,20132014
2013-09-28,Los Angeles Kings,2,Colorado Avalanche,3,PR,20132014
2013-09-29,New York Islanders,5,Ottawa Senators,2,PR,20132014
2013-09-29,Ottawa Senators,1,New York Islanders,4,PR,20132014
2013-10-01,Montréal Canadiens,3,Toronto Maple Leafs,4,R,20132014
2013-10-01,Chicago Blackhawks,6,Washington Capitals,4,R,20132014
2013-10-01,Edmonton Oilers,4,Winnipeg Jets,5,R,20132014
2013-10-02,Philadelphia Flyers,1,Toronto Maple Leafs,3,R,20132014
2013-10-02,Detroit Red Wings,2,Buffalo Sabres,1,R,20132014
2013-10-02,Colorado Avalanche,6,Anaheim Ducks,1,R,20132014
2013-10-03,Boston Bruins,3,Tampa Bay Lightning,1,R,20132014
2013-10-03,Pittsburgh Penguins,3,New Jersey Devils,0,R,20132014
2013-10-03,Washington Capitals,5,Calgary Flames,4,R,20132014
2013-10-03,Minnesota Wild,2,Los Angeles Kings,3,R,20132014
2013-10-03,St. Louis Blues,4,Nashville Predators,2,R,20132014
2013-10-03,Dallas Stars,2,Florida Panthers,4,R,20132014
2013-10-03,Phoenix Coyotes,4,New York Rangers,1,R,20132014
2013-10-03,San Jose Sharks,4,Vancouver Canucks,1,R,20132014
2013-10-04,Buffalo Sabres,0,Ottawa Senators,1,R,20132014
2013-10-04,New Jersey Devils,3,New York Islanders,4,R,20132014
2013-10-04,Carolina Hurricanes,2,Detroit Red Wings,3,R,20132014
2013-10-04,Columbus Blue Jackets,3,Calgary Flames,4,R,20132014
2013-10-04,Winnipeg Jets,5,Los Angeles Kings,3,R,20132014
2013-10-04,Colorado Avalanche,3,Nashville Predators,1,R,20132014
2013-10-05,Boston Bruins,4,Detroit Red Wings,1,R,20132014
2013-10-05,Toronto Maple Leafs,5,Ottawa Senators,4,R,20132014
2013-10-05,Montréal Canadiens,4,Philadelphia Flyers,1,R,20132014
2013-10-05,New York Islanders,2,Columbus Blue Jackets,3,R,20132014
2013-10-05,Pittsburgh Penguins,4,Buffalo Sabres,1,R,20132014
2013-10-05,Chicago Blackhawks,2,Tampa Bay Lightning,3,R,20132014
2013-10-05,St. Louis Blues,7,Florida Panthers,0,R,20132014
2013-10-05,Dallas Stars,2,Washington Capitals,1,R,20132014
2013-10-05,Minnesota Wild,3,Anaheim Ducks,4,R,20132014
2013-10-05,Vancouver Canucks,6,Edmonton Oilers,2,R,20132014
2013-10-05,San Jose Sharks,4,Phoenix Coyotes,1,R,20132014
2013-10-06,Carolina Hurricanes,2,Philadelphia Flyers,1,R,20132014
2013-10-06,Calgary Flames,4,Vancouver Canucks,5,R,20132014
2013-10-06,Winnipeg Jets,2,Anaheim Ducks,3,R,20132014
2013-10-07,Edmonton Oilers,5,New Jersey Devils,4,R,20132014
2013-10-07,Los Angeles Kings,1,New York Rangers,3,R,20132014
2013-10-08,Toronto Maple Leafs,1,Colorado Avalanche,2,R,20132014
2013-10-08,New York Islanders,6,Phoenix Coyotes,1,R,20132014
2013-10-08,Philadelphia Flyers,2,Florida Panthers,1,R,20132014
2013-10-08,Pittsburgh Penguins,5,Carolina Hurricanes,2,R,20132014
2013-10-08,Buffalo Sabres,2,Tampa Bay Lightning,3,R,20132014
2013-10-08,Nashville Predators,3,Minnesota Wild,2,R,20132014
2013-10-08,Vancouver Canucks,3,New Jersey Devils,2,R,20132014
2013-10-08,San Jose Sharks,9,New York Rangers,2,R,20132014
2013-10-09,Calgary Flames,3,Montréal Canadiens,2,R,20132014
2013-10-09,St. Louis Blues,3,Chicago Blackhawks,2,R,20132014
2013-10-09,Los Angeles Kings,4,Ottawa Senators,3,R,20132014
2013-10-10,Boston Bruins,0,Colorado Avalanche,2,R,20132014
2013-10-10,Buffalo Sabres,1,Columbus Blue Jackets,4,R,20132014
2013-10-10,Washington Capitals,2,Carolina Hurricanes,3,R,20132014
2013-10-10,Detroit Red Wings,2,Phoenix Coyotes,4,R,20132014
2013-10-10,Tampa Bay Lightning,7,Florida Panthers,2,R,20132014
2013-10-10,Nashville Predators,0,Toronto Maple Leafs,4,R,20132014
2013-10-10,Minnesota Wild,2,Winnipeg Jets,1,R,20132014
2013-10-10,Edmonton Oilers,1,Montréal Canadiens,4,R,20132014
2013-10-10,Vancouver Canucks,1,San Jose Sharks,4,R,20132014
2013-10-10,Anaheim Ducks,6,New York Rangers,0,R,20132014
2013-10-11,Philadelphia Flyers,1,Phoenix Coyotes,2,R,20132014
2013-10-11,Carolina Hurricanes,1,Los Angeles Kings,2,R,20132014
2013-10-11,Florida Panthers,6,Pittsburgh Penguins,3,R,20132014
2013-10-11,Chicago Blackhawks,3,New York Islanders,2,R,20132014
2013-10-11,Winnipeg Jets,1,Dallas Stars,4,R,20132014
2013-10-11,Calgary Flames,3,New Jersey Devils,2,R,20132014
2013-10-12,Columbus Blue Jackets,1,Boston Bruins,3,R,20132014
2013-10-12,Toronto Maple Leafs,6,Edmonton Oilers,5,R,20132014
2013-10-12,Detroit Red Wings,5,Philadelphia Flyers,2,R,20132014
2013-10-12,Tampa Bay Lightning,4,Pittsburgh Penguins,5,R,20132014
2013-10-12,Washington Capitals,1,Colorado Avalanche,5,R,20132014
2013-10-12,Chicago Blackhawks,2,Buffalo Sabres,1,R,20132014
2013-10-12,St. Louis Blues,5,New York Rangers,3,R,20132014
2013-10-12,Nashville Predators,3,New York Islanders,2,R,20132014
2013-10-12,Minnesota Wild,5,Dallas Stars,1,R,20132014
2013-10-12,Vancouver Canucks,1,Montréal Canadiens,4,R,20132014
2013-10-12,San Jose Sharks,3,Ottawa Senators,2,R,20132014
2013-10-13,Carolina Hurricanes,3,Phoenix Coyotes,5,R,20132014
2013-10-13,Florida Panthers,0,Los Angeles Kings,3,R,20132014
2013-10-13,Anaheim Ducks,4,Ottawa Senators,1,R,20132014
2013-10-13,Winnipeg Jets,3,New Jersey Devils,0,R,20132014
2013-10-14,Boston Bruins,2,Detroit Red Wings,3,R,20132014
2013-10-14,Washington Capitals,4,Edmonton Oilers,2,R,20132014
2013-10-14,Buffalo Sabres,1,Minnesota Wild,2,R,20132014
2013-10-15,Toronto Maple Leafs,4,Minnesota Wild,1,R,20132014
2013-10-15,New York Islanders,3,Buffalo Sabres,4,R,20132014
2013-10-15,Philadelphia Flyers,2,Vancouver Canucks,3,R,20132014
2013-10-15,Pittsburgh Penguins,3,Edmonton Oilers,2,R,20132014
2013-10-15,Carolina Hurricanes,2,Chicago Blackhawks,3,R,20132014
2013-10-15,Tampa Bay Lightning,5,Los Angeles Kings,1,R,20132014
2013-10-15,St. Louis Blues,2,San Jose Sharks,6,R,20132014
2013-10-15,Nashville Predators,4,Florida Panthers,3,R,20132014
2013-10-15,Winnipeg Jets,0,Montréal Canadiens,3,R,20132014
2013-10-15,Detroit Red Wings,2,Columbus Blue Jackets,1,R,20132014
2013-10-15,Colorado Avalanche,3,Dallas Stars,2,R,20132014
2013-10-15,Phoenix Coyotes,3,Ottawa Senators,4,R,20132014
2013-10-16,Washington Capitals,0,New York Rangers,2,R,20132014
2013-10-16,Anaheim Ducks,3,Calgary Flames,2,R,20132014
2013-10-17,Buffalo Sabres,0,Vancouver Canucks,3,R,20132014
2013-10-17,Toronto Maple Leafs,2,Carolina Hurricanes,3,R,20132014
2013-10-17,New York Islanders,3,Edmonton Oilers,2,R,20132014
2013-10-17,Philadelphia Flyers,1,Pittsburgh Penguins,4,R,20132014
2013-10-17,Montréal Canadiens,5,Columbus Blue Jackets,3,R,20132014
2013-10-17,Ottawa Senators,5,New Jersey Devils,2,R,20132014
2013-10-17,Tampa Bay Lightning,3,Minnesota Wild,1,R,20132014
2013-10-17,Florida Panthers,2,Boston Bruins,3,R,20132014
2013-10-17,Chicago Blackhawks,2,St. Louis Blues,3,R,20132014
2013-10-17,Nashville Predators,1,Los Angeles Kings,2,R,20132014
2013-10-17,Dallas Stars,4,San Jose Sharks,3,R,20132014
2013-10-17,Colorado Avalanche,2,Detroit Red Wings,4,R,20132014
