"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Ave. (%)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)","Precip. Accumulated (mm)","Air Temp. Ave. (°C)","Incoming Solar Rad. (W/m2)","Peak Wind Speed 10 m (km/h)","Wind Dir. Peak 10 m (°)","Snow Depth (cm)","Est. Dew Point Temp. (°C)","Wind Chill (°C)","Humidex (°C)"
"Calgary Int'L CS","01-July-2010 00:00","0.000","9.240","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 01:00","0.000","8.960","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 02:00","0.000","7.560","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 03:00","0.000","7.220","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 04:00","0.000","6.980","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 05:00","0.000","6.986","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 06:00","0.000","9.360","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 07:00","0.000","10.370","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 08:00","0.000","11.820","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 09:00","0.000","13.010","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 10:00","0.000","12.650","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 11:00","0.000","13.680","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 12:00","0.000","14.190","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 13:00","0.000","15.370","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 14:00","0.000","17.390","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 15:00","0.000","17.710","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 16:00","0.000","17.640","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 17:00","0.000","18.360","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 18:00","0.000","17.640","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 19:00","0.000","15.730","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 20:00","0.000","14.730","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 21:00","0.000","12.860","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 22:00","0.000","11.280","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","01-July-2010 23:00","0.000","11.280","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 00:00","0.000","9.320","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 01:00","0.000","9.920","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 02:00","0.000","8.030","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 03:00","0.000","7.130","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 04:00","0.000","7.140","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 05:00","0.000","8.690","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 06:00","0.000","10.410","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 07:00","0.000","11.120","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 08:00","0.000","12.270","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 09:00","0.000","12.810","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 10:00","0.000","13.140","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 11:00","0.000","14.620","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 12:00","0.000","14.910","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 13:00","0.000","16.130","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 14:00","0.000","15.910","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 15:00","0.000","16.550","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 16:00","0.000","15.810","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 17:00","0.000","16.100","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 18:00","0.000","16.030","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 19:00","0.000","11.820","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 20:00","0.000","12.430","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 21:00","0.000","10.750","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 22:00","0.000","10.110","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","02-July-2010 23:00","0.000","10.290","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","03-July-2010 00:00","0.000","10.500","","","","","","","","","0.000","","","","","","","",""
"Calgary Int'L CS","03-July-2010 01:00","0.200","10.370","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 02:00","0.000","9.390","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 03:00","0.000","9.810","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 04:00","0.000","9.400","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 05:00","0.000","9.330","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 06:00","0.000","10.110","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 07:00","0.000","11.400","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 08:00","0.000","13.980","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 09:00","0.000","14.920","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 10:00","0.000","16.320","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 11:00","0.000","16.410","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 12:00","0.000","17.400","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 13:00","0.000","17.350","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 14:00","0.000","17.540","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 15:00","0.000","18.090","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 16:00","0.000","20.150","","","","","","","","","0.200","","","","","","","",""
"Calgary Int'L CS","03-July-2010 17:00","0.000","21.280","","","","","","","","","0.200","","","","","","","",""
