date,season,game_type,home_team,home_team_reg_score,home_team_fin_score,away_team,away_team_reg_score,away_team_fin_score,went_to_shoot_out
2016-09-25,20162017,PR,St. Louis Blues,7,7,Columbus Blue Jackets,3,3,False
2016-09-25,20162017,PR,Columbus Blue Jackets,0,0,St. Louis Blues,5,5,False
2016-09-26,20162017,PR,Toronto Maple Leafs,3,3,Ottawa Senators,6,6,False
2016-09-26,20162017,PR,Boston Bruins,2,2,Columbus Blue Jackets,2,3,True
2016-09-26,20162017,PR,Buffalo Sabres,1,1,Minnesota Wild,2,2,False
2016-09-26,20162017,PR,New Jersey Devils,2,2,Philadelphia Flyers,0,0,False
2016-09-26,20162017,PR,New York Islanders,3,3,Philadelphia Flyers,0,0,False
2016-09-26,20162017,PR,Washington Capitals,1,1,Carolina Hurricanes,1,2,False
2016-09-26,20162017,PR,Montréal Canadiens,2,2,New Jersey Devils,3,3,False
2016-09-26,20162017,PR,Dallas Stars,3,3,St. Louis Blues,1,1,False
2016-09-26,20162017,PR,Calgary Flames,1,1,Edmonton Oilers,2,2,False
2016-09-26,20162017,PR,Edmonton Oilers,4,4,Calgary Flames,2,2,False
2016-09-26,20162017,PR,Arizona Coyotes,5,5,Los Angeles Kings,3,3,False
2016-09-26,20162017,PR,Los Angeles Kings,4,4,Arizona Coyotes,3,3,False
2016-09-27,20162017,PR,Florida Panthers,4,4,Nashville Predators,1,1,False
2016-09-27,20162017,PR,Buffalo Sabres,2,3,Ottawa Senators,2,2,False
2016-09-27,20162017,PR,Florida Panthers,1,1,Nashville Predators,2,2,False
2016-09-27,20162017,PR,New York Rangers,5,5,New York Islanders,2,2,False
2016-09-27,20162017,PR,Philadelphia Flyers,4,4,New York Islanders,0,0,False
2016-09-27,20162017,PR,Detroit Red Wings,4,4,Pittsburgh Penguins,2,2,False
2016-09-27,20162017,PR,Montréal Canadiens,5,5,Washington Capitals,2,2,False
2016-09-27,20162017,PR,Tampa Bay Lightning,2,2,Carolina Hurricanes,3,3,False
2016-09-27,20162017,PR,Minnesota Wild,1,1,Colorado Avalanche,4,4,False
2016-09-27,20162017,PR,Winnipeg Jets,0,0,Calgary Flames,3,3,False
2016-09-27,20162017,PR,Anaheim Ducks,1,1,Arizona Coyotes,2,2,False
2016-09-27,20162017,PR,San Jose Sharks,2,3,Vancouver Canucks,2,2,False
2016-09-28,20162017,PR,Boston Bruins,1,1,Detroit Red Wings,5,5,False
