card,game_number,visitor,visitor_score,at,home,home_score,result
647,1,MIN,1,at,STL,3,H
647,2,PIT,5,at,CLB,4,V
647,3,MTL,3,at,NYR,1,V
647,4,EDM,1,at,SJ,0,V
647,5,OTT,4,at,BOS,3,V
647,6,WSH,3,at,TOR,4,H
647,7,CHI,2,at,NSH,3,H
647,8,ANA,5,at,CGY,4,V
649,1,OTT,4,at,BOS,3,V
649,2,WSH,3,at,TOR,4,H
649,3,CHI,2,at,NSH,3,H
649,4,ANA,5,at,CGY,4,V
649,5,MTL,1,at,NYR,2,H
649,6,PIT,4,at,CLB,5,H
649,7,EDM,0,at,SJ,7,H
651,1,MTL,1,at,NYR,2,H
651,2,PIT,4,at,CLB,5,H
651,3,EDM,0,at,SJ,7,H
651,4,WSH,5,at,TOR,4,V
651,5,OTT,1,at,BOS,0,V
651,6,MIN,2,at,STL,0,V
651,7,ANA,3,at,CGY,1,V
654,1,WSH,5,at,TOR,4,V
654,2,OTT,1,at,BOS,0,V
654,3,MIN,2,at,STL,0,V
654,4,ANA,3,at,CGY,1,V
654,5,NYR,3,at,MTL,2,V
654,6,CLB,2,at,PIT,5,H
654,7,CHI,1,at,NSH,4,H
654,8,SJ,3,at,EDM,4,H
662,1,NSH,4,at,STL,3,V
662,2,EDM,5,at,ANA,3,V
662,3,NYR,1,at,OTT,2,H
662,4,PIT,3,at,WSH,2,V
662,5,NSH,2,at,STL,3,H
662,6,EDM,2,at,ANA,1,V
662,7,NYR,5,at,OTT,6,H
662,8,PIT,6,at,WSH,2,V
665,1,NSH,2,at,STL,3,H
665,2,EDM,2,at,ANA,1,V
665,3,NYR,5,at,OTT,6,H
665,4,PIT,6,at,WSH,2,V
665,5,STL,1,at,NSH,3,H
665,6,ANA,6,at,EDM,3,V
665,7,WSH,3,at,PIT,2,V
836,1,NSH,3,at,BOS,4,H
836,2,MTL,3,at,BUF,2,V
836,3,COL,4,at,NYR,2,V
836,4,WSH,5,at,OTT,4,V
836,5,MIN,2,at,DET,4,H
836,6,PIT,1,at,CHI,10,H
836,7,ARZ,4,at,ANA,5,H
836,8,PHI,0,at,LA,2,H
838,1,NYR,5,at,TOR,8,H
838,2,DET,2,at,OTT,1,V
838,3,TB,4,at,FLA,5,H
838,4,BUF,3,at,NYI,6,H
838,5,NSH,0,at,PIT,4,H
838,6,MTL,1,at,WSH,6,H
838,7,MIN,4,at,CAR,5,H
838,8,DAL,2,at,STL,4,H
838,9,CLB,1,at,CHI,5,H
838,10,LV,2,at,ARZ,1,V
838,11,EDM,2,at,VAN,3,H
838,12,PHI,3,at,ANA,2,V
838,13,WPG,3,at,CGY,6,H
838,14,LA,4,at,SJ,1,V
839,1,COL,4,at,BOS,0,V
839,2,STL,3,at,NYI,2,V
839,3,NJ,6,at,BUF,2,V
839,4,CHI,3,at,TOR,4,H
839,5,WSH,3,at,TB,4,H
839,6,WPG,5,at,EDM,2,V
839,7,CGY,2,at,ANA,0,V
840,1,STL,3,at,NYR,1,V
840,2,CLB,2,at,CAR,1,V
840,3,CHI,3,at,MTL,1,V
840,4,PHI,5,at,NSH,6,H
840,5,DET,2,at,DAL,4,H
840,6,OTT,3,at,VAN,2,V
840,7,ARZ,2,at,LV,5,H
842,1,PIT,4,at,TB,5,H
842,2,STL,2,at,FLA,5,H
842,3,DAL,1,at,NSH,4,H
842,4,MIN,5,at,CHI,2,V
842,5,WPG,4,at,VAN,2,V
842,6,DET,4,at,ARZ,2,V
842,7,BUF,2,at,SJ,3,H
844,1,CAR,1,at,WPG,2,H
844,2,TOR,4,at,MTL,3,V
844,3,STL,1,at,TB,2,H
844,4,NJ,3,at,NYR,2,V
844,5,WSH,2,at,PHI,8,H
844,6,FLA,3,at,PIT,4,H
844,7,COL,1,at,DAL,3,H
844,8,CLB,5,at,MIN,4,V
844,9,NSH,1,at,CHI,2,H
844,10,BOS,6,at,ARZ,2,V
844,11,CGY,5,at,VAN,2,V
844,12,OTT,6,at,EDM,1,V
844,13,BUF,2,at,LA,4,H
844,14,NYI,3,at,SJ,1,V
845,1,PIT,5,at,NYR,4,V
845,2,FLA,1,at,PHI,5,H
845,3,TOR,2,at,WSH,0,V
845,4,TB,4,at,NJ,5,H
845,5,VAN,3,at,OTT,0,V
845,6,COL,1,at,NSH,4,H
845,7,CLB,5,at,WPG,2,V
845,8,ARZ,1,at,DAL,3,H
845,9,CAR,5,at,EDM,3,V
