date,closed,card,winners,matched_games,total_games,payout
2017-04-17,2017-04-16,647,20,8,8,$493.50
2017-04-18,2017-04-17,649,4,7,7,"$2,478.00"
2017-04-19,2017-04-18,651,11,7,7,$810.00
2017-04-20,2017-04-19,654,6,8,8,"$2,011.00"
2017-04-29,2017-04-26,662,16,8,8,$987.20
2017-05-01,2017-04-28,665,11,7,7,$843.00
2017-10-05,2017-10-05,836,13,8,8,"$1,419.90"
2017-10-07,2017-10-07,838,11,12,14,"$2,075.50"
2017-10-09,2017-10-09,839,9,7,7,"$1,286.70"
2017-10-10,2017-10-10,840,201,7,7,$112.20
2017-10-12,2017-10-12,842,28,7,7,$590.90
2017-10-14,2017-10-14,844,1,14,14,"$29,265.00"
2017-10-17,2017-10-17,845,1,11,11,"$26,040.00"
2017-10-19,2017-10-19,848,9,9,9,"$3,107.00"
2017-10-21,2017-10-20,850,28,8,8,$570.50
2017-10-21,2017-10-21,851,6,10,10,"$5,362.50"
2017-10-24,2017-10-24,854,3,11,11,"$12,164.00"
2017-10-26,2017-10-26,857,2,11,11,"$18,432.00"
2017-10-28,2017-10-27,858,59,7,7,$216.20
2017-10-28,2017-10-28,861,2,11,11,"$20,775.00"
2017-10-30,2017-10-30,863,24,8,8,"$1,035.30"
2017-11-01,2017-10-31,865,74,8,8,$202.90
2017-11-02,2017-11-02,868,3,12,12,"$11,605.00"
2017-11-04,2017-11-04,871,1,12,12,"$36,834.00"
2017-11-07,2017-11-07,873,19,9,9,"$1,597.90"
2017-11-09,2017-11-09,876,74,7,7,$333.00
2017-11-11,2017-11-10,877,4,8,8,"$3,918.80"
2017-11-11,2017-11-11,879,11,10,10,"$3,066.30"
2017-11-14,2017-11-14,882,62,8,8,$491.60
2017-11-16,2017-11-16,885,3,11,12,"$12,565.00"
2017-11-18,2017-11-18,888,30,8,8,"$1,075.20"
2017-11-22,2017-11-22,890,4,14,15,"$9,375.80"
2017-11-24,2017-11-24,893,19,8,8,"$1,422.50"
2017-11-25,2017-11-25,895,26,11,11,"$1,403.70"
2017-11-28,2017-11-28,898,12,10,10,"$3,063.00"
2017-11-30,2017-11-30,901,36,7,7,$808.10
2017-12-01,2017-12-01,902,72,8,8,$364.40
2017-12-04,2017-12-03,906,50,8,8,$189.90
2017-12-05,2017-12-05,908,3,10,10,"$9,014.00"
2017-12-07,2017-12-07,911,55,9,9,$539.90
