,game_pk,home_team,away_team,home_regulation_win,home_OT_SO_win,away_regulation_win,away_OT_SO_win,card
2776,2016030163,St. Louis Blues,Minnesota Wild,0.434,0.122,0.37,0.074,647
2777,2016030143,Columbus Blue Jackets,Pittsburgh Penguins,0.419,0.0825,0.398,0.1005,647
2778,2016030113,New York Rangers,Montréal Canadiens,0.486,0.0465,0.345,0.1225,647
2779,2016030183,San Jose Sharks,Edmonton Oilers,0.5125,0.075,0.3185,0.094,647
2780,2016030123,Boston Bruins,Ottawa Senators,0.489,0.039,0.335,0.137,647
2781,2016030133,Toronto Maple Leafs,Washington Capitals,0.322,0.0495,0.501,0.1275,647
2782,2016030153,Nashville Predators,Chicago Blackhawks,0.4575,0.079,0.3635,0.1,647
2783,2016030173,Calgary Flames,Anaheim Ducks,0.373,0.027,0.444,0.156,647
2780,2016030123,Boston Bruins,Ottawa Senators,0.5115,0.0395,0.3255,0.1235,649
2781,2016030133,Toronto Maple Leafs,Washington Capitals,0.3505,0.051,0.487,0.1115,649
2782,2016030153,Nashville Predators,Chicago Blackhawks,0.443,0.07,0.376,0.111,649
2783,2016030173,Calgary Flames,Anaheim Ducks,0.363,0.0245,0.4445,0.168,649
2784,2016030114,New York Rangers,Montréal Canadiens,0.5005,0.0425,0.3335,0.1235,649
2785,2016030144,Columbus Blue Jackets,Pittsburgh Penguins,0.4125,0.0795,0.403,0.105,649
2786,2016030184,San Jose Sharks,Edmonton Oilers,0.4965,0.0655,0.3275,0.1105,649
2784,2016030114,New York Rangers,Montréal Canadiens,0.491,0.0535,0.3315,0.124,651
2785,2016030144,Columbus Blue Jackets,Pittsburgh Penguins,0.4015,0.0805,0.413,0.105,651
2786,2016030184,San Jose Sharks,Edmonton Oilers,0.4905,0.0765,0.3325,0.1005,651
2787,2016030134,Toronto Maple Leafs,Washington Capitals,0.339,0.062,0.4915,0.1075,651
2788,2016030124,Boston Bruins,Ottawa Senators,0.4885,0.044,0.338,0.1295,651
2789,2016030164,St. Louis Blues,Minnesota Wild,0.4395,0.116,0.38,0.0645,651
2790,2016030174,Calgary Flames,Anaheim Ducks,0.365,0.0245,0.441,0.1695,651
2787,2016030134,Toronto Maple Leafs,Washington Capitals,0.3365,0.0765,0.4735,0.1135,654
2788,2016030124,Boston Bruins,Ottawa Senators,0.49,0.036,0.3345,0.1395,654
2789,2016030164,St. Louis Blues,Minnesota Wild,0.4315,0.126,0.384,0.0585,654
2790,2016030174,Calgary Flames,Anaheim Ducks,0.356,0.0225,0.4655,0.156,654
2791,2016030115,Montréal Canadiens,New York Rangers,0.4335,0.112,0.402,0.0525,654
2792,2016030145,Pittsburgh Penguins,Columbus Blue Jackets,0.544,0.0895,0.2925,0.074,654
2793,2016030154,Nashville Predators,Chicago Blackhawks,0.4445,0.0915,0.37,0.094,654
2794,2016030185,Edmonton Oilers,San Jose Sharks,0.4325,0.0795,0.404,0.084,654
2802,2016030231,St. Louis Blues,Nashville Predators,0.45,0.106,0.368,0.076,662
2803,2016030241,Anaheim Ducks,Edmonton Oilers,0.5025,0.1,0.314,0.0835,662
2804,2016030211,Ottawa Senators,New York Rangers,0.4025,0.0905,0.4295,0.0775,662
2805,2016030221,Washington Capitals,Pittsburgh Penguins,0.504,0.0725,0.318,0.1055,662
2806,2016030232,St. Louis Blues,Nashville Predators,0.4485,0.1065,0.3585,0.0865,665
2807,2016030242,Anaheim Ducks,Edmonton Oilers,0.483,0.0915,0.332,0.0935,665
2808,2016030212,Ottawa Senators,New York Rangers,0.4185,0.0895,0.4265,0.0655,665
2809,2016030222,Washington Capitals,Pittsburgh Penguins,0.4945,0.077,0.3255,0.103,665
2810,2016030233,Nashville Predators,St. Louis Blues,0.4485,0.086,0.3815,0.084,665
2811,2016030243,Edmonton Oilers,Anaheim Ducks,0.4075,0.0925,0.4025,0.0975,665
2812,2016030223,Pittsburgh Penguins,Washington Capitals,0.419,0.099,0.4155,0.0665,665
2959,2017020005,Boston Bruins,Nashville Predators,0.447,0.0635,0.3695,0.12,836
2960,2017020006,Buffalo Sabres,Montréal Canadiens,0.421,0.0815,0.388,0.1095,836
2961,2017020007,New York Rangers,Colorado Avalanche,0.592,0.1025,0.252,0.0535,836
2962,2017020008,Ottawa Senators,Washington Capitals,0.3605,0.0405,0.4655,0.1335,836
