,game_pk,home_team,away_team,home_regulation_win,home_OT_SO_win,away_regulation_win,away_OT_SO_win,card
4200,2016030163,St. Louis Blues,Minnesota Wild,0.448,0.099,0.3695,0.0835,647
4201,2016030143,Columbus Blue Jackets,Pittsburgh Penguins,0.4075,0.0925,0.4145,0.0855,647
4202,2016030113,New York Rangers,Montréal Canadiens,0.498,0.056,0.328,0.118,647
4203,2016030183,San Jose Sharks,Edmonton Oilers,0.5045,0.089,0.3175,0.089,647
4204,2016030123,Boston Bruins,Ottawa Senators,0.4685,0.0505,0.37,0.111,647
4205,2016030133,Toronto Maple Leafs,Washington Capitals,0.3275,0.0525,0.4855,0.1345,647
4206,2016030153,Nashville Predators,Chicago Blackhawks,0.4465,0.077,0.377,0.0995,647
4207,2016030173,Calgary Flames,Anaheim Ducks,0.399,0.0375,0.4255,0.138,647
4204,2016030123,Boston Bruins,Ottawa Senators,0.4745,0.0535,0.357,0.115,649
4205,2016030133,Toronto Maple Leafs,Washington Capitals,0.3245,0.057,0.503,0.1155,649
4206,2016030153,Nashville Predators,Chicago Blackhawks,0.4315,0.0675,0.386,0.115,649
4207,2016030173,Calgary Flames,Anaheim Ducks,0.4015,0.0335,0.4185,0.1465,649
4208,2016030114,New York Rangers,Montréal Canadiens,0.5015,0.047,0.3305,0.121,649
4209,2016030144,Columbus Blue Jackets,Pittsburgh Penguins,0.405,0.08,0.4285,0.0865,649
4210,2016030184,San Jose Sharks,Edmonton Oilers,0.525,0.084,0.311,0.08,649
4208,2016030114,New York Rangers,Montréal Canadiens,0.506,0.042,0.334,0.118,651
4209,2016030144,Columbus Blue Jackets,Pittsburgh Penguins,0.402,0.08,0.418,0.1,651
4210,2016030184,San Jose Sharks,Edmonton Oilers,0.5415,0.0785,0.2975,0.0825,651
4211,2016030134,Toronto Maple Leafs,Washington Capitals,0.342,0.066,0.488,0.104,651
4212,2016030124,Boston Bruins,Ottawa Senators,0.4725,0.0555,0.355,0.117,651
4213,2016030164,St. Louis Blues,Minnesota Wild,0.445,0.1095,0.356,0.0895,651
4214,2016030174,Calgary Flames,Anaheim Ducks,0.403,0.0315,0.4275,0.138,651
4211,2016030134,Toronto Maple Leafs,Washington Capitals,0.32,0.068,0.507,0.105,654
4212,2016030124,Boston Bruins,Ottawa Senators,0.4645,0.0485,0.3565,0.1305,654
4213,2016030164,St. Louis Blues,Minnesota Wild,0.445,0.1075,0.3605,0.087,654
4214,2016030174,Calgary Flames,Anaheim Ducks,0.4115,0.0325,0.405,0.151,654
4215,2016030115,Montréal Canadiens,New York Rangers,0.421,0.125,0.397,0.057,654
4216,2016030145,Pittsburgh Penguins,Columbus Blue Jackets,0.502,0.0805,0.3275,0.09,654
4217,2016030154,Nashville Predators,Chicago Blackhawks,0.4035,0.07,0.405,0.1215,654
4218,2016030185,Edmonton Oilers,San Jose Sharks,0.402,0.0745,0.4295,0.094,654
4226,2016030231,St. Louis Blues,Nashville Predators,0.4625,0.099,0.3535,0.085,662
4227,2016030241,Anaheim Ducks,Edmonton Oilers,0.524,0.1195,0.2985,0.058,662
4228,2016030211,Ottawa Senators,New York Rangers,0.407,0.0765,0.414,0.1025,662
4229,2016030221,Washington Capitals,Pittsburgh Penguins,0.483,0.0885,0.321,0.1075,662
4230,2016030232,St. Louis Blues,Nashville Predators,0.476,0.0925,0.3525,0.079,665
4231,2016030242,Anaheim Ducks,Edmonton Oilers,0.5485,0.1165,0.276,0.059,665
4232,2016030212,Ottawa Senators,New York Rangers,0.4145,0.0905,0.42,0.075,665
4233,2016030222,Washington Capitals,Pittsburgh Penguins,0.4785,0.089,0.3455,0.087,665
4234,2016030233,Nashville Predators,St. Louis Blues,0.4405,0.0795,0.392,0.088,665
4235,2016030243,Edmonton Oilers,Anaheim Ducks,0.386,0.07,0.4395,0.1045,665
4236,2016030223,Pittsburgh Penguins,Washington Capitals,0.402,0.1105,0.404,0.0835,665
4383,2017020005,Boston Bruins,Nashville Predators,0.4545,0.071,0.365,0.1095,836
4384,2017020006,Buffalo Sabres,Montréal Canadiens,0.37,0.0985,0.4375,0.094,836
4385,2017020007,New York Rangers,Colorado Avalanche,0.594,0.0935,0.2495,0.063,836
4386,2017020008,Ottawa Senators,Washington Capitals,0.396,0.055,0.4365,0.1125,836
4387,2017020009,Detroit Red Wings,Minnesota Wild,0.3935,0.1175,0.4175,0.0715,836
4388,2017020010,Chicago Blackhawks,Pittsburgh Penguins,0.452,0.1285,0.366,0.0535,836
4389,2017020011,Anaheim Ducks,Arizona Coyotes,0.58,0.0815,0.2555,0.083,836
4390,2017020012,Los Angeles Kings,Philadelphia Flyers,0.483,0.083,0.343,0.091,836
4395,2017020016,Toronto Maple Leafs,New York Rangers,0.3765,0.0635,0.4475,0.1125,838
4396,2017020017,Ottawa Senators,Detroit Red Wings,0.4775,0.062,0.353,0.1075,838
4397,2017020018,Florida Panthers,Tampa Bay Lightning,0.421,0.0805,0.4,0.0985,838
4398,2017020020,New York Islanders,Buffalo Sabres,0.5605,0.0895,0.2765,0.0735,838
4399,2017020021,Pittsburgh Penguins,Nashville Predators,0.5015,0.113,0.32,0.0655,838
4400,2017020022,Washington Capitals,Montréal Canadiens,0.5175,0.0985,0.309,0.075,838
4401,2017020023,Carolina Hurricanes,Minnesota Wild,0.3785,0.0455,0.441,0.135,838
4402,2017020024,St. Louis Blues,Dallas Stars,0.502,0.096,0.3335,0.0685,838
4403,2017020025,Chicago Blackhawks,Columbus Blue Jackets,0.49,0.0595,0.3425,0.108,838
4404,2017020026,Arizona Coyotes,Vegas Golden Knights,0.358,0.0835,0.4705,0.088,838
4405,2017020028,Vancouver Canucks,Edmonton Oilers,0.446,0.1115,0.3845,0.058,838
4406,2017020029,Anaheim Ducks,Philadelphia Flyers,0.483,0.1695,0.3235,0.024,838
4407,2017020027,Calgary Flames,Winnipeg Jets,0.447,0.08,0.3845,0.0885,838
4408,2017020030,San Jose Sharks,Los Angeles Kings,0.4555,0.1005,0.3495,0.0945,838
4410,2017020032,Boston Bruins,Colorado Avalanche,0.549,0.0745,0.276,0.1005,839
