Pools_Team,NHL_Team
ANA,Anaheim Ducks
ARZ,Arizona Coyotes
BOS,Boston Bruins
BUF,Buffalo Sabres
CAR,Carolina Hurricanes
CGY,Calgary Flames
CHI,Chicago Blackhawks
CLB,Columbus Blue Jackets
COL,Colorado Avalanche
DAL,Dallas Stars
DET,Detroit Red Wings
EDM,Edmonton Oilers
FLA,Florida Panthers
LA,Los Angeles Kings
LV,Vegas Golden Knights
MIN,Minnesota Wild
MTL,Montréal Canadiens
NJ,New Jersey Devils
NSH,Nashville Predators
NYI,New York Islanders
NYR,New York Rangers
OTT,Ottawa Senators
PHI,Philadelphia Flyers
PIT,Pittsburgh Penguins
SJ,San Jose Sharks
STL,St. Louis Blues
TB,Tampa Bay Lightning
TOR,Toronto Maple Leafs
VAN,Vancouver Canucks
WPG,Winnipeg Jets
WSH,Washington Capitals
